Designator,Mid X,Mid Y,Layer,Rotation
D1,39.98,93.005,B,0
D2,59.03,95.505,B,0
D3,78.08,97.97,B,0
D4,97.13,95.505,B,0
D5,116.18,90.605,B,0
D6,135.23,90.605,B,0
D7,39.98,73.905,B,0
D8,59.03,76.455,B,0
D9,78.08,78.955,B,0
D10,97.13,76.455,B,0
D11,116.18,71.555,B,0
D12,135.23,71.555,B,0
D13,39.98,54.905,B,0
D14,59.03,57.405,B,0
D15,78.08,59.905,B,0
D16,97.13,57.405,B,0
D17,116.18,52.505,B,0
D18,135.23,52.505,B,0
D19,39.98,35.855,B,0
D20,59.03,38.355,B,0
D21,78.08,40.855,B,0
D22,97.13,38.355,B,0
D23,116.2125,33.57,B,0
D24,135.23,33.455,B,0
D25,19.25,38.54,B,0
D26,24.007088,12.117418,B,27
D27,39.334741,15.048244,B,15
D28,59.03,19.305,B,0
D29,78.08,21.805,B,0
D30,97.13,19.305,B,0
D31,2.55125,110.9825,B,90
U1,45.25,114.15,B,0
