Designator,Mid X,Mid Y,Layer,Rotation
D1,-37.92,24.525,B,0
D2,-18.87,27.025,B,0
D3,0.18,29.49,B,0
D4,19.23,27.025,B,0
D5,38.28,22.125,B,0
D6,57.33,22.125,B,0
D7,-37.92,5.425,B,0
D8,-18.87,7.975,B,0
D9,0.18,10.475,B,0
D10,19.23,7.975,B,0
D11,38.28,3.075,B,0
D12,57.33,3.075,B,0
D13,-37.92,-13.575,B,0
D14,-18.87,-11.075,B,0
D15,0.18,-8.575,B,0
D16,19.23,-11.075,B,0
D17,38.28,-15.975,B,0
D18,57.33,-15.975,B,0
D19,-37.92,-32.625,B,0
D20,-18.87,-30.125,B,0
D21,0.18,-27.625,B,0
D22,19.23,-30.125,B,0
D23,38.3125,-34.91,B,0
D24,57.33,-35.025,B,0
D25,-58.65,-29.94,B,0
D26,-53.892912,-56.362582,B,27
D27,-38.565259,-53.431756,B,15
D28,-18.87,-49.175,B,0
D29,0.18,-46.675,B,0
D30,19.23,-49.175,B,0
D31,-75.34875,42.5025,B,90
U1,-37.959997,45.626932,B,0
