Designator ,Val,Package,Mid X,Mid Y,Rotation ,Layer
"C2","0.1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",122.572500,-61.212635,-90.000000,top
"C3","0.1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",135.700000,-108.675000,180.000000,top
"C6","0.1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",114.662500,-61.212635,-90.000000,top
"C7","0.1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",101.535000,-107.575000,0.000000,top
"D1","1N4841W","D_SOD-123_DO-35_Hybrid_DoubleSided_V2",159.597500,-73.538135,0.000000,top
"D2","1N4841W","D_SOD-123_DO-35_Hybrid_DoubleSided_V2",178.870000,-70.996885,0.000000,top
"D3","1N4841W","D_SOD-123_DO-35_Hybrid_DoubleSided_V2",197.575500,-68.620135,0.000000,top
"D4","1N4841W","D_SOD-123_DO-35_Hybrid_DoubleSided_V2",216.625500,-71.085135,0.000000,top
"D5","1N4841W","D_SOD-123_DO-35_Hybrid_DoubleSided_V2",235.675500,-75.985135,0.000000,top
"D6","1N4841W","D_SOD-123_DO-35_Hybrid_DoubleSided_V2",254.725500,-75.985135,0.000000,top
"D7","1N4841W","D_SOD-123_DO-35_Hybrid_DoubleSided_V2",159.597500,-92.638135,0.000000,top
"D8","1N4841W","D_SOD-123_DO-35_Hybrid_DoubleSided_V2",178.870000,-90.046885,0.000000,top
"D9","1N4841W","D_SOD-123_DO-35_Hybrid_DoubleSided_V2",197.575500,-87.635135,0.000000,top
"D10","1N4841W","D_SOD-123_DO-35_Hybrid_DoubleSided_V2",216.625500,-90.135135,0.000000,top
"D11","1N4841W","D_SOD-123_DO-35_Hybrid_DoubleSided_V2",235.675500,-95.035135,0.000000,top
"D12","1N4841W","D_SOD-123_DO-35_Hybrid_DoubleSided_V2",254.725500,-95.035135,0.000000,top
"D13","1N4841W","D_SOD-123_DO-35_Hybrid_DoubleSided_V2",159.597500,-111.638135,0.000000,top
"D14","1N4841W","D_SOD-123_DO-35_Hybrid_DoubleSided_V2",178.870000,-109.096885,0.000000,top
"D15","1N4841W","D_SOD-123_DO-35_Hybrid_DoubleSided_V2",197.575500,-106.685135,0.000000,top
"D16","1N4841W","D_SOD-123_DO-35_Hybrid_DoubleSided_V2",216.625500,-109.185135,0.000000,top
"D17","1N4841W","D_SOD-123_DO-35_Hybrid_DoubleSided_V2",235.675500,-114.085135,0.000000,top
"D18","1N4841W","D_SOD-123_DO-35_Hybrid_DoubleSided_V2",254.725500,-114.085135,0.000000,top
