Designator ,Val,Package,Mid X,Mid Y,Rotation ,Layer
C2,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,122.5725,-61.212635,-90,top
C3,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,135.7,-108.675,180,top
C4,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,163.7475,-51.562635,-90,top
C6,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,116.4275,-61.212635,-90,top
C7,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,103.3,-107.575,0,top
C8,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,75.2515,-51.562634,90,top
D1,1N4841W,D_SOD-123_DO-35_Hybrid_DoubleSided_V2,159.5975,-73.538135,0,top
D2,1N4841W,D_SOD-123_DO-35_Hybrid_DoubleSided_V2,178.87,-70.996885,0,top
D3,1N4841W,D_SOD-123_DO-35_Hybrid_DoubleSided_V2,197.5755,-68.620135,0,top
D4,1N4841W,D_SOD-123_DO-35_Hybrid_DoubleSided_V2,216.6255,-71.085135,0,top
D5,1N4841W,D_SOD-123_DO-35_Hybrid_DoubleSided_V2,235.6755,-75.985135,0,top
D6,1N4841W,D_SOD-123_DO-35_Hybrid_DoubleSided_V2,254.7255,-75.985135,0,top
D7,1N4841W,D_SOD-123_DO-35_Hybrid_DoubleSided_V2,159.5975,-92.638135,0,top
D8,1N4841W,D_SOD-123_DO-35_Hybrid_DoubleSided_V2,178.87,-90.046885,0,top
D9,1N4841W,D_SOD-123_DO-35_Hybrid_DoubleSided_V2,197.5755,-87.635135,0,top
D10,1N4841W,D_SOD-123_DO-35_Hybrid_DoubleSided_V2,216.6255,-90.135135,0,top
D11,1N4841W,D_SOD-123_DO-35_Hybrid_DoubleSided_V2,235.6755,-95.035135,0,top
D12,1N4841W,D_SOD-123_DO-35_Hybrid_DoubleSided_V2,254.7255,-95.035135,0,top
D13,1N4841W,D_SOD-123_DO-35_Hybrid_DoubleSided_V2,159.5975,-111.638135,0,top
D14,1N4841W,D_SOD-123_DO-35_Hybrid_DoubleSided_V2,178.87,-109.096885,0,top
D15,1N4841W,D_SOD-123_DO-35_Hybrid_DoubleSided_V2,197.5755,-106.685135,0,top
