Ref,Val,Package,PosX,PosY,Rot,Side
"D1","D","D_SOD-123_DO-35_Hybrid_DoubleSided_V2",39.980000,93.005000,0.000000,bottom
"D2","D","D_SOD-123_DO-35_Hybrid_DoubleSided_V2",59.030000,95.505000,0.000000,bottom
"D3","D","D_SOD-123_DO-35_Hybrid_DoubleSided_V2",78.080000,97.970000,0.000000,bottom
"D4","D","D_SOD-123_DO-35_Hybrid_DoubleSided_V2",97.130000,95.505000,0.000000,bottom
"D5","D","D_SOD-123_DO-35_Hybrid_DoubleSided_V2",116.180000,90.605000,0.000000,bottom
"D6","D","D_SOD-123_DO-35_Hybrid_DoubleSided_V2",135.230000,90.605000,0.000000,bottom
"D7","D","D_SOD-123_DO-35_Hybrid_DoubleSided_V2",39.980000,73.905000,0.000000,bottom
"D8","D","D_SOD-123_DO-35_Hybrid_DoubleSided_V2",59.030000,76.455000,0.000000,bottom
"D9","D","D_SOD-123_DO-35_Hybrid_DoubleSided_V2",78.080000,78.955000,0.000000,bottom
"D10","D","D_SOD-123_DO-35_Hybrid_DoubleSided_V2",97.130000,76.455000,0.000000,bottom
"D11","D","D_SOD-123_DO-35_Hybrid_DoubleSided_V2",116.180000,71.555000,0.000000,bottom
"D12","D","D_SOD-123_DO-35_Hybrid_DoubleSided_V2",135.230000,71.555000,0.000000,bottom
"D13","D","D_SOD-123_DO-35_Hybrid_DoubleSided_V2",39.980000,54.905000,0.000000,bottom
"D14","D","D_SOD-123_DO-35_Hybrid_DoubleSided_V2",59.030000,57.405000,0.000000,bottom
"D15","D","D_SOD-123_DO-35_Hybrid_DoubleSided_V2",78.080000,59.905000,0.000000,bottom
"D16","D","D_SOD-123_DO-35_Hybrid_DoubleSided_V2",97.130000,57.405000,0.000000,bottom
"D17","D","D_SOD-123_DO-35_Hybrid_DoubleSided_V2",116.180000,52.505000,0.000000,bottom
"D18","D","D_SOD-123_DO-35_Hybrid_DoubleSided_V2",135.230000,52.505000,0.000000,bottom
"D19","D","D_SOD-123_DO-35_Hybrid_DoubleSided_V2",39.980000,35.855000,0.000000,bottom
"D20","D","D_SOD-123_DO-35_Hybrid_DoubleSided_V2",59.030000,38.355000,0.000000,bottom
"D21","D","D_SOD-123_DO-35_Hybrid_DoubleSided_V2",78.080000,40.855000,0.000000,bottom
"D22","D","D_SOD-123_DO-35_Hybrid_DoubleSided_V2",97.130000,38.355000,0.000000,bottom
"D23","D","D_SOD-123_DO-35_Hybrid_DoubleSided_V2",116.180000,33.455000,0.000000,bottom
"D24","D","D_SOD-123_DO-35_Hybrid_DoubleSided_V2",135.230000,33.455000,0.000000,bottom
"D25","D","D_SOD-123_DO-35_Hybrid_DoubleSided_V2",19.250000,38.540000,0.000000,bottom
"D26","D","D_SOD-123_DO-35_Hybrid_DoubleSided_V2",24.007088,12.117418,27.000000,bottom
"D27","D","D_SOD-123_DO-35_Hybrid_DoubleSided_V2",39.334741,15.048244,15.000000,bottom
"D28","D","D_SOD-123_DO-35_Hybrid_DoubleSided_V2",59.030000,19.305000,0.000000,bottom
"D29","D","D_SOD-123_DO-35_Hybrid_DoubleSided_V2",78.080000,21.805000,0.000000,bottom
"D30","D","D_SOD-123_DO-35_Hybrid_DoubleSided_V2",97.130000,19.305000,0.000000,bottom
"D31","D","D_SOD-123_DO-35_Hybrid_DoubleSided_V2",2.551250,110.982500,90.000000,bottom
"U3","Pico","RPi_Pico_SMD_TH - Junco -DS Sofle v3b v3",15.462500,90.925135,180.000000,bottom
